x1,y1,z1,f1,x2,y2,z2,f2,x3,y3,z3,f3,x4,y4,z4,f4,x5,y5,z5,f5
-10.886483,-0.42154703,9.697508,249133b8_podgorica_airport_to_belgrade_nikola_tesla_airport.csv,4.4018373,-5.4917564,-1.9150536,24910ea2_abu_dhabi_international_airport_to_abu_dhabi_international_airport.csv,7.3882465,13.935939,3.8298585,249108b9_elko_regional_airport_to_elko_regional_airport.csv,5.738533,-8.279384,-4.7291703,24913e11_yanji_chaoyangchuan_airport_to_dalian_zhoushuizi_international_airport.csv,20.681234,-4.119073,-17.208166,24912dfc_san_francisco_international_airport_to_seoul_incheon_international_airport.csv
-6.8712783,-12.352038,9.891938,24910a9b_auckland_airport_to_new_plymouth_airport.csv,17.2726,3.535837,8.161861,24910da3_novosibirsk_tolmachevo_airport_to_krasnodar_international_airport.csv,4.4139304,21.419481,1.4133235,,-10.310721,-16.735804,-6.591051,24911a4c_delhi_indira_gandhi_international_airport_to_adampur_airport.csv,16.272743,-3.5663826,-17.62361,24910173_niue_international_airport_to_auckland_airport.csv
-0.8197081,9.596644,12.756783,24913ce5_ronneby_airport_to_kalmar_airport.csv,17.639456,-9.351893,3.8003128,24913435_omsk_tsentralny_airport_to_salekhard_airport.csv,9.482911,10.690436,-0.14637911,,-5.1687007,-18.54208,-1.8058975,24910e7a_changde_taohuayuan_airport_to_hangzhou_xiaoshan_international_airport.csv,17.205631,-4.4150863,-16.962954,249129b2_anchorage_ted_stevens_international_airport_to_taiwan_taoyuan_international_airport.csv
-6.0258207,3.9061522,15.013938,24910f49_chicago_dupage_airport_to_chicago_aurora_municipal_airport.csv,16.010492,2.486334,7.826124,2491288f_ontario_international_airport_to_allentown_lehigh_valley_international_airport.csv,-0.4107393,13.331629,-17.688587,,-8.3075285,-19.813986,-1.0828366,2491125d_st._gallen_altenrhein_airport_to_salzburg_airport.csv,18.969826,-6.0902934,-16.222988,2491605b_mexico_city_international_airport_to_tokyo_narita_international_airport.csv
-2.0002737,-14.997325,12.060498,24912db2_oslo_gardermoen_airport_to_stockholm_bromma_airport.csv,21.261967,12.751049,5.3962364,249119b4_taiwan_taoyuan_international_airport_to_hong_kong_international_airport.csv,4.276029,22.464546,-0.07815858,,5.8958387,-8.392694,-4.818539,2491046d_ningbo_lishe_international_airport_to_guangzhou_baiyun_international_airport.csv,16.992514,-4.52664,-17.385578,249137b9_anchorage_ted_stevens_international_airport_to_seoul_incheon_international_airport.csv
3.146033,7.12067,19.142199,2491372b_frankfurt_egelsbach_airport_to_ramstein_air_base.csv,-6.618283,-5.2793417,-18.60289,24911b17_daqing_sartu_airport_to_qingdao_liuting_international_airport.csv,4.1344423,18.144644,3.206211,,3.0667264,-19.707518,-0.8604872,249129be_ordos_ejin_horo_airport_to_beijing_daxing_international_airport.csv,20.419132,-6.317697,-15.334033,24910dd5_chicago_o'hare_international_airport_to_taiwan_taoyuan_international_airport.csv
8.240941,2.6153972,18.822971,24911683_bankstown_airport_to_port_macquarie_airport.csv,17.639816,1.1957791,15.78414,24912ffd_doha_hamad_international_airport_to_osaka_kansai_international_airport.csv,-0.43166056,23.866318,-4.8315268,,-15.646948,-10.74769,9.849751,24910131_penang_international_airport_to_kuala_lumpur_subang_airport.csv,20.137133,-5.3067827,-16.58059,24912181_los_angeles_international_airport_to_taiwan_taoyuan_international_airport.csv
8.104456,-1.5445076,19.297403,24910116_gainesville_regional_airport_to_st._petersburg_albert_whitted_airport.csv,17.272236,2.8404202,5.8242955,24913f05_istanbul_airport_to_casablanca_mohammed_v_international_airport.csv,7.4444594,22.40056,-1.5592929,,1.1727785,-18.533665,-2.931391,24913491_lyuliang_airport_to_nanjing_lukou_international_airport.csv,17.538994,-3.9680672,-16.167767,24911d44_hong_kong_international_airport_to_anchorage_ted_stevens_international_airport.csv
-1.7626206,7.2165136,18.510342,249120af_phoenix_sky_harbor_international_airport_to_mesa_falcon_field_airport.csv,18.07176,-11.300436,3.4175656,24912731_shanghai_hongqiao_international_airport_to_beijing_capital_international_airport.csv,-8.177445,12.301455,-14.928889,,3.0922453,-8.437038,-3.5113745,24910fb3_guiyang_longdongbao_international_airport_to_zhengzhou_xinzheng_international_airport.csv,17.544205,-3.721893,-15.895758,249139e5_guangzhou_baiyun_international_airport_to_anchorage_ted_stevens_international_airport.csv
1.6032351,8.711054,16.74451,24913216_brest_bretagne_airport_to_brest_bretagne_airport.csv,19.792383,2.817904,15.524189,24912c31_johannesburg_or_tambo_international_airport_to_london_heathrow_airport.csv,-4.0386653,15.800606,-17.319725,,-9.047596,-16.596851,-6.3273096,24912049_bergen_flesland_airport_to_oslo_gardermoen_airport.csv,16.806408,-4.4390144,-17.507067,24912423_san_francisco_international_airport_to_sydney_kingsford_smith_airport.csv
-2.4159741,-14.516211,15.595906,24912308_gothenburg_city_airport_to_trollhattan_vanersborg_airport.csv,10.109665,-6.013187,7.756326,24913967_groote_eylandt_airport_to_brisbane_airport.csv,-1.8989122,21.505278,-15.021192,,11.13611,-17.578804,-17.90205,24911e39_seoul_gimpo_international_airport_to_jeju_international_airport.csv,18.930017,-3.3049755,-17.511862,24910fcb_anchorage_ted_stevens_international_airport_to_hong_kong_international_airport.csv
-13.873422,-0.8193222,14.009687,24911440_townsville_airport_to_townsville_airport.csv,-5.6307106,-5.3707724,-15.044008,24910804_winston-salem_smith_reynolds_airport_to_lexington_blue_grass_airport.csv,11.052523,17.27533,-10.378206,,-13.741672,-13.724483,7.160263,249120c2_helsinki_vantaa_airport_to_st._petersburg_pulkovo_airport.csv,18.051983,-5.1735682,-17.024902,24910234_tokyo_narita_international_airport_to_san_francisco_international_airport.csv
2.423486,-12.781821,19.41034,24910aeb_rock_springs_sweetwater_county_airport_to_rock_springs_sweetwater_county_airport.csv,-2.7434516,7.062875,-0.64925426,24913446_zhuhai_jinwan_airport_to_chongqing_jiangbei_international_airport.csv,0.15614569,24.07724,-11.053188,,5.575113,-12.181789,-2.3150864,2491155f_jiayuguan_airport_to_lanzhou_zhongchuan_international_airport.csv,17.84533,-4.842929,-16.840565,24910238_tokyo_narita_international_airport_to_san_francisco_international_airport.csv
0.33893508,-15.312118,19.427044,24910c4b_beijing_capital_international_airport_to_beijing_capital_international_airport.csv,17.542686,-6.356466,-3.7623866,24913c3e_brownsville_south_padre_island_international_airport_to_alexandria_international_airport.csv,12.599938,16.115023,-6.028396,,-7.956429,-25.336185,1.2859871,2491054b_chicago_o'hare_international_airport_to_cincinnati_northern_kentucky_international_airport.csv,17.00232,-4.67314,-17.46651,24911759_melbourne_airport_to_los_angeles_international_airport.csv
8.252024,1.2876827,19.353872,249133ca_alicante_airport_to_alicante_airport.csv,15.187444,1.402767,13.523277,2491238a_anchorage_ted_stevens_international_airport_to_cincinnati_northern_kentucky_international_airport.csv,2.162435,24.41754,-10.119381,,-10.247775,-11.177972,-2.98435,24912f5e_islamabad_international_airport_to_lahore_allama_iqbal_international_airport.csv,19.45022,-4.066191,19.250242,24911772_seoul_incheon_international_airport_to_lisbon_humberto_delgado_airport.csv
-19.168182,2.0270958,11.689595,24910032_hobart_international_airport_to_hobart_international_airport.csv,4.356517,-12.611883,6.8885217,24910bf9_chiang_mai_international_airport_to_bangkok_suvarnabhumi_airport.csv,9.633829,10.223715,-1.5023043,,-9.324842,-18.93972,-2.3608067,249129d8_adampur_airport_to_delhi_indira_gandhi_international_airport.csv,20.543228,-6.284377,-15.256002,249110fc_hong_kong_international_airport_to_dallas_fort_worth_international_airport.csv
1.9256985,-13.228518,19.45117,24910553_denver_rocky_mountain_metropolitan_airport_to_cheyenne_regional_airport.csv,19.397627,3.7932153,14.370073,2491160a_dublin_airport_to_washington_dulles_international_airport.csv,12.288384,18.795242,-4.9614053,,11.1129465,-17.521187,-17.929861,24911f5c_qui_nhon_phu_cat_airport_to_ho_chi_minh_city_international_airport.csv,16.881285,-4.354337,-17.668476,24911d7c_yokota_afb_to_elmendorf_afb.csv
-8.242785,6.2262144,19.82275,2491187d_haifa_airport_to_tel_aviv_ben_gurion_international_airport.csv,-7.13903,-5.3235693,-17.792303,24910f92_changsha_huanghua_international_airport_to_sanya_phoenix_international_airport.csv,9.51994,13.060445,2.226133,,9.11635,-11.75074,-8.627151,2491351c_xining_caojiabao_airport_to_xi'an_xianyang_international_airport.csv,17.37803,-4.234128,-15.954918,24912a32_misawa_airport_to_seattle_tacoma_international_airport.csv
-8.015359,3.9354992,16.499426,24911b06_caloundra_airport_to_caloundra_airport.csv,7.9895654,-9.314717,4.263679,24910987_xi'an_xianyang_international_airport_to_beijing_capital_international_airport.csv,8.7862215,13.999271,2.952026,,-8.770301,-8.418489,-3.8716578,249103dc_urmia_airport_to_tehran_mehrabad_international_airport.csv,20.442142,-6.2483006,-15.458236,24913e7a_seoul_incheon_international_airport_to_detroit_metropolitan_wayne_county_airport.csv
0.6632811,-17.713097,19.144094,249136f9_wagga_wagga_airport_to_bankstown_airport.csv,-4.34908,-6.281072,-17.22577,24911246_hohhot_baita_international_airport_to_hailar_hulunbuir_airport.csv,3.320418,23.937628,-3.4607663,,-8.007326,-25.090408,1.087668,24910643_queretaro_international_airport_to_mexico_city_international_airport.csv,20.73929,-6.4591713,-14.999481,24911380_shanghai_pudong_international_airport_to_toronto_pearson_international_airport.csv
-6.543674,-12.113777,10.3166,24910663_cairns_airport_to_lockhart_river_airport.csv,-1.809168,-6.010929,-16.282257,24910782_guangyuan_panlong_airport_to_hangzhou_xiaoshan_international_airport.csv,9.893016,17.447271,-12.068914,,1.5468974,-14.247347,-2.936227,24912bdc_jinan_yaoqiang_international_airport_to_quanzhou_jinjiang_airport.csv,19.353054,-5.9055624,-16.382277,24910fbb_shanghai_pudong_international_airport_to_los_angeles_international_airport.csv
4.514267,-13.677698,19.861557,24910309_san_bernardino_international_airport_to_apple_valley_airport.csv,17.948092,-4.572513,-2.2079544,24910b0d_gothenburg_landvetter_airport_to_tallinn_lennart_meri_airport_.csv,8.102828,22.200031,-10.34801,,9.908134,-10.931915,-8.294024,24912a48_shanghai_pudong_international_airport_to_dalian_zhoushuizi_international_airport.csv,20.712776,-4.140407,-17.207674,24911a63_los_angeles_international_airport_to_seoul_incheon_international_airport.csv
1.3349676,-16.258957,17.718922,249138ee_augsburg_airport_to_memmingen_airport.csv,2.7275853,-3.5510664,0.1981981,24912398_nampula_airport_to_lichinga_airport.csv,-7.8132,16.12597,-6.2274117,,-9.44442,-18.762941,-2.5803432,24911278_shenzhen_bao'an_international_airport_to_zhanjiang_airport.csv,18.48406,-5.2379117,-15.631474,24913583_seattle_tacoma_international_airport_to_taiwan_taoyuan_international_airport.csv
8.776428,-1.6923575,23.437914,24911187_melbourne_moorabbin_airport_to_melbourne_moorabbin_airport.csv,0.9176873,8.993245,-5.0485563,24913464_osaka_kansai_international_airport_to_wuxi_sunan_shuofang_international_airport.csv,10.772273,12.0257015,0.2644561,,-12.669416,-15.817811,9.771777,2491265b_naberezhnye_chelny_begishevo_airport_to_kazan_international_airport.csv,19.007832,-6.0709996,-16.241474,24912c87_mexico_city_international_airport_to_tokyo_narita_international_airport.csv
2.3791919,-12.823465,19.420216,24910ffe_addis_ababa_bole_airport_to_addis_ababa_bole_airport.csv,-2.7793815,7.0271773,-0.5844782,24911c31_nanjing_lukou_international_airport_to_guangzhou_baiyun_international_airport.csv,7.926241,12.078496,-12.702612,,-0.9724223,-19.11621,-1.0366158,249138cc_wenzhou_longwan_international_airport_to_guiyang_longdongbao_international_airport.csv,19.41833,-5.807376,-15.778857,24913c7d_memphis_international_airport_to_tokyo_narita_international_airport.csv
-2.2593312,-13.9851885,12.369173,24913361_wexford_county_airport_to_saginaw_mbs_international_airport.csv,1.3153486,-4.3173184,7.1860085,249128ef_xi'an_xianyang_international_airport_to_guangzhou_baiyun_international_airport.csv,7.137087,15.155827,3.7196176,,-0.21897984,-19.86661,1.6424036,24911f3c_zagreb_franjo_tudman_airport_to_amsterdam_schiphol_airport.csv,19.104345,-5.5224156,-16.042622,249129b8_san_francisco_international_airport_to_taiwan_taoyuan_international_airport.csv
-6.5016556,-11.292159,11.325424,249108f0_logan_cache_airport_to_logan_cache_airport.csv,-4.6402407,4.7892103,-1.2008185,249117a6_hanoi_noi_bai_international_airport_to_da_nang_international_airport.csv,4.6079774,22.961088,-12.961025,,-0.09202905,-19.957268,1.8088737,249129af_rankin_inlet_airport_to_winnipeg_international_airport.csv,20.89494,-6.574393,-14.868639,24911f81_chicago_o'hare_international_airport_to_amsterdam_schiphol_airport.csv
9.989169,-6.350115,18.258112,2491355c_albi_le_sequestre_airport_to_castres_mazamet_airport.csv,-6.603795,-6.342115,-17.719755,2491125b_harbin_taiping_international_airport_to_qingdao_liuting_international_airport.csv,11.885197,19.487085,-5.301464,,10.773361,-16.229902,-18.67559,249117bf_naha_airport_to_ishigaki_new_airport.csv,20.745419,-4.247843,-17.144089,24911987_beijing_capital_international_airport_to_los_angeles_international_airport.csv
-11.501022,6.944,13.657936,2491067a_zamboanga_international_airport_to_cotabato_awang_airport.csv,14.151409,1.665459,10.171957,249104af_leipzig_halle_airport_to_dubai_international_airport.csv,-2.7730536,21.073172,-15.055175,,5.9216323,-13.635894,-17.740393,24911493_hangzhou_xiaoshan_international_airport_to_guangzhou_baiyun_international_airport.csv,19.610088,-4.2164984,19.335968,24910f43_doha_hamad_international_airport_to_chicago_o'hare_international_airport.csv
7.8531237,3.560309,18.292551,24910a1f_charleston_executive_airport_to_savannah_hilton_head_international_airport.csv,2.0616531,-3.9009733,-21.002954,24913631_lanzhou_zhongchuan_international_airport_to_chengdu_shuangliu_international_airport.csv,9.299524,10.526742,-0.23269184,,-5.9974422,-18.594395,-1.785798,249131ae_changsha_huanghua_international_airport_to_fuzhou_changle_international_airport.csv,20.736689,-6.4767632,-15.036158,24911270_toronto_pearson_international_airport_to_guangzhou_baiyun_international_airport.csv
7.575071,-6.4023557,22.537928,24913aea_maribor_airport_to_ljubljana_joze_pucnik_airport.csv,-9.607188,-4.3052,-12.932271,24910c87_hanoi_noi_bai_international_airport_to_da_nang_international_airport.csv,10.130691,13.528618,-10.835147,,-12.045454,-16.997124,9.10315,249105e5_jayapura_sentani_airport_to_wamena_airport.csv,18.490984,-5.034735,-15.595381,2491016b_seoul_incheon_international_airport_to_los_angeles_international_airport.csv
8.329675,-5.988768,19.84083,24915020_burlington_international_airport_to_saranac_lake_adirondack_regional_airport.csv,2.6395082,0.2967346,2.864211,24912117_shenzhen_bao'an_international_airport_to_xi'an_xianyang_international_airport.csv,0.91305107,24.22905,-10.819068,,7.2999077,-11.952802,-19.01372,24912956_zhengzhou_xinzheng_international_airport_to_guangzhou_baiyun_international_airport.csv,16.44813,-3.8383656,-17.556526,2491384e_auckland_airport_to_san_francisco_international_airport.csv
-12.898667,5.5175605,7.182213,249139ea_aalborg_airport_to_sindal_airport.csv,18.949333,0.063755035,-8.067054,24911d6a_santiago_international_airport_to_antofagasta_international_airport.csv,3.8395762,18.292643,3.1055143,,-8.707019,-19.933628,-4.8181386,24912639_yulin_yuyang_airport_to_xi'an_xianyang_international_airport.csv,17.414782,-3.4948251,-15.953757,24911b84_anchorage_ted_stevens_international_airport_to_seoul_incheon_international_airport.csv
8.472836,-1.6910702,22.304302,24912875_perpignan_rivesaltes_airport_to_perpignan_rivesaltes_airport.csv,-2.0051794,7.433626,-0.55329514,24913e86_nanjing_lukou_international_airport_to_guangzhou_baiyun_international_airport.csv,-0.30939594,15.65115,-17.749104,,-0.570178,-24.731642,3.9299397,24912237_wellington_international_airport_to_christchurch_international_airport.csv,17.329575,-4.402342,-16.917652,249124f8_anchorage_ted_stevens_international_airport_to_taiwan_taoyuan_international_airport.csv
-8.237504,0.75352854,13.16013,24910a0c_merced_municipal_airport_to_merced_municipal_airport.csv,19.07058,-7.288305,-3.1907113,24911eb9_geneva_international_airport_to_prague_vaclav_havel_airport.csv,11.86642,19.274837,-2.934684,,-10.649733,-17.459112,-8.794936,249108b2_jeju_international_airport_to_cheongju_international_airport.csv,19.69051,-4.2877593,19.378668,24913f82_memphis_international_airport_to_dubai_international_airport.csv
6.9202104,4.0168724,16.187431,249138a6_trondheim_vaernes_airport_to_trondheim_vaernes_airport.csv,16.628412,-5.15716,-0.41564485,24911173_mumbai_chhatrapati_shivaji_international_airport_to_patna_jay_prakash_narayan_international_airport.csv,7.125792,23.522179,-6.6972675,,3.7060585,-10.081681,-2.9951696,24913669_darwin_international_airport_to_gove_airport.csv,17.3337,-3.447723,-16.266499,24911f40_anchorage_ted_stevens_international_airport_to_osaka_kansai_international_airport.csv
-2.597215,7.9191318,16.72941,24913039_strasbourg_airport_to_basel_mulhouse-freiburg_euroairport.csv,18.710798,0.68809855,-1.6468995,2491260e_mumbai_chhatrapati_shivaji_international_airport_to_dubai_international_airport.csv,0.18510917,11.311295,-17.208744,,-12.831155,-12.107544,10.31201,24912ef6_frankfurt_egelsbach_airport_to_berlin_tegel_airport.csv,16.569616,-4.1679277,-17.686136,24911372_nadi_international_airport_to_los_angeles_international_airport.csv
-8.107945,5.865842,21.46618,249107ba_halls_creek_airport_to_halls_creek_airport.csv,11.454315,-4.517133,6.6147647,24910a72_tianjin_binhai_international_airport_to_sanya_phoenix_international_airport.csv,-0.31885242,10.867361,-17.201757,,-7.6138697,-10.765371,-4.876418,2491248b_el_paso_international_airport_to_show_low_regional_airport.csv,19.747782,-4.209054,19.385227,24910b91_chicago_o'hare_international_airport_to_doha_hamad_international_airport.csv
2.229925,6.141135,17.47102,249134ab_lelystad_airport_to_soesterberg.csv,16.955076,4.139782,10.309437,249102e0_dubai_international_airport_to_frankfurt_airport.csv,-7.921451,15.690748,-6.1426983,,0.60796934,-22.610798,-7.7061515,24913231_yantai_penglai_international_airport_to_ningbo_lishe_international_airport.csv,19.41795,-5.8762345,-16.388084,24912bc8_los_angeles_international_airport_to_taiwan_taoyuan_international_airport.csv
-6.3897247,-12.535402,10.001987,24910501_rabaul_airport_to_hoskins.csv,-0.86444575,-6.716469,-16.364742,2491039a_guangzhou_baiyun_international_airport_to_hangzhou_xiaoshan_international_airport.csv,5.2884135,22.891026,-1.1107543,,13.574463,-14.7340975,-12.592642,249132a5_jeju_international_airport_to_seoul_gimpo_international_airport.csv,20.668623,-6.4250774,-15.097833,249114ee_toronto_pearson_international_airport_to_taiwan_taoyuan_international_airport.csv
7.602889,-1.1524891,23.272211,24912160_mianyang_nanjiao_airport_to_mianyang_nanjiao_airport.csv,24.509537,6.7922263,3.888064,249111c2_tokyo_narita_international_airport_to_taiwan_taoyuan_international_airport.csv,12.842073,16.651464,-2.5261552,,6.78464,-13.874759,-14.3144655,24912edb_cairns_airport_to_brisbane_airport.csv,20.698833,-3.4693832,-17.62944,249103f9_anchorage_ted_stevens_international_airport_to_seoul_incheon_international_airport.csv
-15.736097,2.7768598,13.07879,2491333b_glasgow_international_airport_to_glasgow_international_airport.csv,6.1451573,-11.740699,7.05309,249115e6_ho_chi_minh_city_international_airport_to_vinh_airport.csv,9.036975,13.478623,2.6937995,,-5.5552855,-22.024206,-1.5261476,24912c5d_kassel_calden_airport_to_rostock_laage_airport.csv,19.188158,-4.059089,19.140322,249111c7_dubai_international_airport_to_toronto_pearson_international_airport.csv
