x1,y1,f1,x2,y2,f2,x3,y3,f3,x4,y4,f4,x5,y5,f5
43.630436,34.98443,249133b8_podgorica_airport_to_belgrade_nikola_tesla_airport.csv,12.710321,-14.502592,24910ea2_abu_dhabi_international_airport_to_abu_dhabi_international_airport.csv,-54.965508,-36.568462,249108b9_elko_regional_airport_to_elko_regional_airport.csv,51.820705,5.236309,24913e11_yanji_chaoyangchuan_airport_to_dalian_zhoushuizi_international_airport.csv,82.740944,36.44479,24912dfc_san_francisco_international_airport_to_seoul_incheon_international_airport.csv
-46.349308,37.49497,24910a9b_auckland_airport_to_new_plymouth_airport.csv,40.364296,-47.899956,24910da3_novosibirsk_tolmachevo_airport_to_krasnodar_international_airport.csv,-48.376644,-19.12744,,-18.265106,-69.47229,24911a4c_delhi_indira_gandhi_international_airport_to_adampur_airport.csv,89.098305,36.368835,24910173_niue_international_airport_to_auckland_airport.csv
9.234077,36.630013,24913ce5_ronneby_airport_to_kalmar_airport.csv,7.321155,-69.20313,24913435_omsk_tsentralny_airport_to_salekhard_airport.csv,-68.97106,-39.573765,,22.586979,-15.053499,24910e7a_changde_taohuayuan_airport_to_hangzhou_xiaoshan_international_airport.csv,87.54635,35.383713,249129b2_anchorage_ted_stevens_international_airport_to_taiwan_taoyuan_international_airport.csv
24.923355,23.98926,24910f49_chicago_dupage_airport_to_chicago_aurora_municipal_airport.csv,37.568417,-47.57761,2491288f_ontario_international_airport_to_allentown_lehigh_valley_international_airport.csv,-83.33909,15.277518,,23.84598,-19.525879,2491125d_st._gallen_altenrhein_airport_to_salzburg_airport.csv,84.57913,33.49416,2491605b_mexico_city_international_airport_to_tokyo_narita_international_airport.csv
-47.858536,40.83108,24912db2_oslo_gardermoen_airport_to_stockholm_bromma_airport.csv,59.33825,-55.06206,249119b4_taiwan_taoyuan_international_airport_to_hong_kong_international_airport.csv,-49.83487,-16.710968,,52.108727,5.1529183,2491046d_ningbo_lishe_international_airport_to_guangzhou_baiyun_international_airport.csv,87.59151,35.98639,249137b9_anchorage_ted_stevens_international_airport_to_seoul_incheon_international_airport.csv
-3.3384593,34.57891,2491372b_frankfurt_egelsbach_airport_to_ramstein_air_base.csv,-24.537271,23.529459,24911b17_daqing_sartu_airport_to_qingdao_liuting_international_airport.csv,-49.693546,-30.988083,,46.421288,-13.562625,249129be_ordos_ejin_horo_airport_to_beijing_daxing_international_airport.csv,82.7661,32.478096,24910dd5_chicago_o'hare_international_airport_to_taiwan_taoyuan_international_airport.csv
-8.821123,45.405968,24911683_bankstown_airport_to_port_macquarie_airport.csv,53.202797,-35.205116,24912ffd_doha_hamad_international_airport_to_osaka_kansai_international_airport.csv,-52.39914,-1.0234803,,-38.841293,-48.166622,24910131_penang_international_airport_to_kuala_lumpur_subang_airport.csv,83.27096,34.611683,24912181_los_angeles_international_airport_to_taiwan_taoyuan_international_airport.csv
-15.412038,51.322495,24910116_gainesville_regional_airport_to_st._petersburg_albert_whitted_airport.csv,38.187927,-52.209145,24913f05_istanbul_airport_to_casablanca_mohammed_v_international_airport.csv,-54.49354,-17.770288,,41.375656,-10.073138,24913491_lyuliang_airport_to_nanjing_lukou_international_airport.csv,87.64804,34.237423,24911d44_hong_kong_international_airport_to_anchorage_ted_stevens_international_airport.csv
4.395775,28.031412,249120af_phoenix_sky_harbor_international_airport_to_mesa_falcon_field_airport.csv,3.7158234,-71.083244,24912731_shanghai_hongqiao_international_airport_to_beijing_capital_international_airport.csv,-72.398415,25.404848,,48.233253,4.3169827,24910fb3_guiyang_longdongbao_international_airport_to_zhengzhou_xinzheng_international_airport.csv,87.94485,33.817337,249139e5_guangzhou_baiyun_international_airport_to_anchorage_ted_stevens_international_airport.csv
1.8847078,35.980682,24913216_brest_bretagne_airport_to_brest_bretagne_airport.csv,54.039085,-39.176937,24912c31_johannesburg_or_tambo_international_airport_to_london_heathrow_airport.csv,-75.34449,15.858049,,-19.55537,-69.01139,24912049_bergen_flesland_airport_to_oslo_gardermoen_airport.csv,87.88589,36.183826,24912423_san_francisco_international_airport_to_sydney_kingsford_smith_airport.csv
